model,subset,R2,MAE,RMSE,RPD
XGBoost,pooled,0.7379799258665655,0.03165595604301021,0.08216624452000304,1.953586823576639
MLP,pooled,0.7173717253116941,0.04496160182448637,0.08533632944651781,1.8810147293440238
RF,pooled,0.7133280042731209,0.03646693687701589,0.08594463865201639,1.867701059131606
Ridge,pooled,0.5256227480052955,0.06306173170938312,0.11055746764996795,1.451904570980834
PLS,pooled,0.4338502163448821,0.07174413202346722,0.12077911078701829,1.3290286009814474
