,apple,broccoli,leek,mushroom
apple,0.5973992943763733,0.4423835005636759,0.22981101274490356,0.5044304827934271
broccoli,0.2962600886821747,0.771739380248308,-0.08573193319809319,0.02699338779068863
leek,0.21166365300692946,0.3575840616932194,0.7822285632008641,-0.40449655055999756
mushroom,0.18473036132064763,0.3921782409544988,-0.30559486150741577,0.8962561791709291
