,apple,broccoli,leek,mushroom
apple,0.35311704874038696,-17.343307421807772,-2.030998706817627,-0.2565868735641008
broccoli,0.04966247081756592,0.5943192696783615,-106.86260389022927,-0.03549188501598244
leek,-54212.8812584397,-2100.220902220985,0.6091852418153763,-0.30320990085601807
mushroom,-779352.6667951205,-168662.77586786897,-504.9835510253906,0.8000758677203442
