held_out,best_model,pearson_r,R2,R2_lo,R2_hi,RPD,RPD_lo,RPD_hi
apple,Ridge,0.23207704589680095,-114854.01444628129,-136475.5941911454,-99020.62031296437,0.0029506997406000676,0.0027068918877610807,0.003177861670187707
broccoli,Ridge,0.2834669587484646,-38701.69213415014,-44988.06315274421,-33717.2562293955,0.0050831086955176,0.004714618052999445,0.0054458723563756365
leek,XGBoost,0.1793920397758484,-18.035934448242188,-22.77480001449585,-14.780365610122681,0.2291991031544885,0.2050886550921239,0.25173375481183263
mushroom,PLS,0.33852566365134495,-0.14301570344357262,-0.2254670358488851,-0.07077499251199114,0.9353494720635003,0.9033357181700549,0.9663866128244938
